ID,BaseMean,log2FC,lfcSE,stat,pvalue,padj,ClusterID
6247,3654.41507713141,6.92897704310715,1.21359188817617,5.70947870582776,1.13322734019349e-8,1.06236072906026e-6,Lantipeptide(venezuelin)
6249,1106.33499940919,7.75400407028679,1.37419687082063,5.6425714793371204,1.67528947253784e-8,1.54871204572387e-6,Lantipeptide(venezuelin)
6250,3933.1291936417,7.48890690861301,1.34294945960306,5.57646220791251,2.45459208943697e-8,2.23804999277979e-6,Lantipeptide(venezuelin)
0492,392.020851958531,4.435255490188,0.796311619994684,5.56974854921445,2.55107232035643e-8,2.26399164857232e-6,"NA"
5597,63.5687413783669,5.56615288832585,0.998966795101851,5.57190981283652,2.51961853252929e-8,2.26399164857232e-6,Lantipeptide/terpene
5449,183.73551656142,6.01889204288205,1.08235651388707,5.56091450982855,2.68364641660992e-8,2.31978578557865e-6,Lantipeptide/terpene
6264,16335.9696769925,7.19034174501991,1.29254632325817,5.5629276998715,2.65285820711069e-8,2.31978578557865e-6,Lantipeptide(venezuelin)
6216,1605.52728460914,3.75530595871224,0.677801788500669,5.5404190759354,3.01748656428861e-8,2.57492186819294e-6,Lantipeptide(venezuelin)
0507,72.5640641576144,6.46195399972697,1.1721165193071,5.51306452326683,3.52638876143433e-8,2.97109412608948e-6,"NA"
5448,244.108618939811,5.30855787719358,0.972855908340241,5.45667434579325,4.85134916728507e-8,4.01792852741591e-6,Lantipeptide/terpene
6211,786.127390721497,3.59299188683701,0.658626628919302,5.45527880148502,4.88960653126035e-8,4.01792852741591e-6,Lantipeptide(venezuelin)
0803,58.3191105233726,4.89700952619668,0.901835534769838,5.43004720638611,5.63391473470922e-8,4.57308981392983e-6,"NA"
3020,3471.48930547178,4.77423143401719,0.882820670571092,5.40792891825784,6.37577172402982e-8,5.11290802351114e-6,Terpene1
6210,137.564655074319,4.10465900212309,0.759841921105974,5.40199071426413,6.59053626420361e-8,5.22221540173086e-6,Lantipeptide(venezuelin)
6253,671.49223119219,6.99793635399813,1.29969537681861,5.38428964110627,7.27313064897077e-8,5.69528912935876e-6,Lantipeptide(venezuelin)
0504,335.717783576509,4.25494250239407,0.791650726634065,5.37477243340028,7.66794641475816e-8,5.93463387635236e-6,"NA"
6267,402.46864173061,7.59437227329845,1.41616055827824,5.36264919179197,8.20101829712313e-8,6.27425032018983e-6,Lantipeptide(venezuelin)
3226,893.489899010125,4.20814246954087,0.786241825282082,5.35222413031907,8.68796939834489e-8,6.57126412674813e-6,"NA"
0811,79.5228256606186,4.26281791362623,0.798645945335403,5.33755657124886,9.42075140164762e-8,7.04545183476029e-6,"NA"
1909,6514.37232433777,3.34145972407246,0.628823330929173,5.31382911498368,1.07345289776822e-7,7.93878054171697e-6,"NA"
4009,3939.33376318986,3.45754122082156,0.656108089794558,5.26977379886322,1.3659198172364e-7,9.88213293861467e-6,"NA"
6262,982.128647765184,7.31680521488095,1.38842986509645,5.26984142218282,1.36541670108263e-7,9.88213293861467e-6,Lantipeptide(venezuelin)
6265,1389.69554709435,7.46574753588212,1.41889862018908,5.26164972581851,1.4276855825546e-7,1.0217930362885399e-05,Lantipeptide(venezuelin)
2045,224.793625839769,3.65038382406976,0.696550732063211,5.24065750854525,1.6000544560562e-7,1.13297472973511e-5,"NA"
0512,1179.96711499008,4.51061392329454,0.866884897028711,5.20324432777048,1.95839119673097e-7,1.37211071636225e-5,"NA"
5453,161.488123114038,5.91985788378195,1.14710353818176,5.16070057038211,2.46027416587929e-7,1.6882046235147e-5,Lantipeptide/terpene
5454,461.389031121156,5.7670387881437,1.11722954887063,5.16191036477097,2.44442337787163e-7,1.6882046235147e-5,Lantipeptide/terpene
2916,109.862128619098,4.03102909987831,0.795545641751648,5.06699916173598,4.04136062023446e-7,2.74482615186537e-5,Terpene1
2917,25017.623433776,3.1284853985617,0.621400231237759,5.03457392078872,4.78912848347273e-7,3.21984234201964e-5,Terpene1
3535,750.099312144893,-3.64347403535053,0.728025129075133,-5.00459927802097,5.59783565464741e-7,3.72591941173332e-5,"NA"
6268,1489.07196163998,6.34356622615492,1.27292364497526,4.9834616955978,6.24566823361215e-7,4.11595720424975e-5,Lantipeptide(venezuelin)
6212,992.451541391726,3.143190607948,0.638635444940687,4.9217290284286,8.57829347162432e-7,5.59775699481681e-5,Lantipeptide(venezuelin)
5806,314.624809791232,-3.21828133473095,0.672399044761032,-4.78626696424697,1.69912015933697e-6,1.09799454180067e-4,"NA"
1654,254.183379933139,-3.22330323493697,0.676980812422122,-4.76129186498586,1.9235761743327e-6,1.23108875157293e-4,"NA"
5135,149.654745158597,4.02880532983528,0.847977871591844,4.75107365982594,2.0233940198804e-6,1.2826391044118e-4,T1PKS-T3PKS-NRPS
2566,2311.99550737219,5.47217533099763,1.15775153486537,4.7265541579558,2.28361905651428e-6,1.43394041888293e-4,Siderophore(desferrioxamine-like)
0613,816.489597721326,3.57108832195333,0.75745879518965,4.71456446823515,2.42228304535572e-6,1.50679588316707e-4,"NA"
4711,1925.05430124922,-3.05031836974288,0.649626494751952,-4.69549563385278,2.65961049487728e-6,1.63910809758363e-4,T1PKS-T3PKS-NRPS
5726,105.572931304783,4.30498895938485,0.919924389052539,4.6797204320441,2.8726635747491e-6,1.7541696104156e-4,"NA"
0490,41.3811242091571,6.19178272754788,1.32402672457031,4.67647866364427,2.91842949174798e-6,1.76591515427951e-4,"NA"
5447,874.405362182281,3.9478898511991,0.851392781051831,4.6369783008047,3.53539510398924e-6,2.11996304613985e-4,Lantipeptide/terpene
0799,71.370823693775,3.58707920523037,0.783208351627656,4.57998079026575,4.65018638370796e-6,2.76353933660359e-4,"NA"
2567,1221.51033959744,5.36002022977528,1.17290453825641,4.56986911973525,4.88028895985575e-6,2.85240633577759e-4,Siderophore(desferrioxamine-like)
2568,2669.48827446158,5.33321031811187,1.16709424052725,4.5696483907782,4.88543152461907e-6,2.85240633577759e-4,Siderophore(desferrioxamine-like)
